mpirun -np 2  -env I_MPI_DEBUG 5 -env I_MPI_FABRICS ofi -env I_MPI_OFI_PROVIDER mlx  -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ./IMB_intel-gcc -msglog 28 -iter 100 -iter_policy multiple_np -off_cache -1 
ct1pt-tnode007.hpc,ct1pt-tnode008.hpc
latency:0.24,bandwith:6422.54
"bytes","repetitions","t[usec]","Mbytes/sec","t[usec],(estimated)","Mbytes/sec,(estimated)"
0,100,0.24,0,0.24,70.68
1,100,0.24,4.11,0.24,72.51
2,100,0.24,8.32,0.24,74.33
4,100,0.24,16.45,0.24,77.98
8,100,0.24,33.75,0.24,85.28
16,100,0.24,66.1,0.24,99.88
32,100,0.28,114.93,0.24,129.08
64,100,0.28,227.04,0.25,187.39
128,100,0.35,368.86,0.26,303.46
256,100,0.39,652.79,0.28,531.67
512,100,0.49,1047.87,0.32,958.85
1024,100,0.57,1809.36,0.4,1659.91
2048,100,0.83,2480.18,0.56,2547.84
4096,100,1.26,3261.1,0.88,3171.29
8192,100,2.1,3903.82,1.52,3811.08
16384,100,4.21,3888.6,2.79,4670.41
32768,100,5.54,5909.65,5.34,5301.03
65536,100,11.3,5797.32,10.44,5685.93
131072,100,21.54,6083.67,20.65,6241.76
262144,100,38.95,6729.63,41.06,6749.34
524288,100,74.99,6991.02,81.87,6994.03
1048576,98,141.53,7408.83,163.51,7317.59
2097152,98,282.81,7415.36,326.77,7615.47
4194304,96,553.04,7584.09,653.3,7624.51
8388608,94,1076.1,7795.41,1306.37,7533.98
16777216,88,2156.23,7780.82,2612.5,7357.93
33554432,80,5191.4,6463.46,5224.76,7036.45
67108864,66,10494.85,6394.46,10449.27,6550.03
134217728,50,20968.19,6401.02,20898.31,6111.24
268435456,32,41791.93,6423.14,41796.37,6490.23
