mpirun -np 2  -env I_MPI_DEBUG 5 -env I_MPI_FABRICS ofi -env I_MPI_OFI_PROVIDER shm  -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB_intel-gcc -msglog 28 -iter 100 -iter_policy multiple_np -off_cache -1 
ct1pt-tnode007.hpc,ct1pt-tnode008.hpc
latency:1.62,bandwith:3922.84
"bytes","repetitions","t[usec]","Mbytes/sec","t[usec],(estimated)","Mbytes/sec,(estimated)"
0,100,1.62,0,1.62,42.72
1,100,1.68,0.6,1.62,43.01
2,100,1.76,1.14,1.62,43.29
4,100,1.7,2.35,1.62,43.86
8,100,1.63,4.89,1.62,45.01
16,100,1.59,10.09,1.62,47.3
32,100,1.53,20.98,1.63,51.87
64,100,1.56,41.01,1.64,61.02
128,100,1.75,73.08,1.65,79.32
256,100,1.87,136.83,1.69,115.9
512,100,1.87,273.22,1.75,189.16
1024,100,2.04,503.04,1.88,336.39
2048,100,2.36,867.42,2.14,630.99
4096,100,3.44,1191.28,2.66,1198.18
8192,100,4.44,1846.23,3.71,2151.51
16384,100,5.78,2835.16,5.8,3398.69
32768,100,7.81,4196.57,9.97,4190.22
65536,100,11.7,5601.41,18.33,4441.94
131072,100,28.46,4605.06,35.03,4787.77
262144,100,54.35,4822.96,68.45,5048.2
524288,100,106.57,4919.87,135.27,5036.45
1048576,98,214.4,4890.67,268.92,4986.38
2097152,98,427.69,4903.47,536.22,4921.42
4194304,96,849.95,4934.78,1070.82,4852.94
8388608,94,1724.13,4865.4,2140.03,4741.96
16777216,88,3450.5,4862.25,4278.43,4570.44
33554432,80,8535.65,3931.09,8555.25,4344.21
67108864,66,17042.72,3937.69,17108.88,4025.9
134217728,50,34179.24,3926.88,34216.14,3734.11
268435456,32,68537.42,3916.63,68430.65,3961.89
