mpirun -np 2  -env I_MPI_DEBUG 5 -env I_MPI_FABRICS ofi -env I_MPI_OFI_PROVIDER shm  -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ./IMB_intel-gcc -msglog 28 -iter 100 -iter_policy multiple_np -off_cache -1 
ct1pt-tnode007.hpc,ct1pt-tnode008.hpc
latency:1.60,bandwith:4478.22
"bytes","repetitions","t[usec]","Mbytes/sec","t[usec],(estimated)","Mbytes/sec,(estimated)"
0,100,1.6,0,1.6,45.26
1,100,1.61,0.62,1.6,45.67
2,100,1.78,1.12,1.6,46.08
4,100,1.67,2.39,1.6,46.89
8,100,1.59,5.02,1.6,48.53
16,100,1.54,10.39,1.6,51.8
32,100,1.63,19.63,1.61,58.35
64,100,1.84,34.78,1.61,71.44
128,100,1.6,79.85,1.63,97.62
256,100,1.66,154.44,1.66,149.97
512,100,1.58,325.04,1.71,254.57
1024,100,1.81,566.89,1.83,463.16
2048,100,1.84,1114.47,2.06,875
4096,100,2.16,1897.18,2.51,1654.58
8192,100,3.13,2619.85,3.43,2946.02
16384,100,3.99,4103.08,5.26,4573.94
32768,100,5.39,6082.59,8.92,5373.28
65536,100,12.93,5069.06,16.23,5134.3
131072,100,29.15,4496.23,30.87,4793.26
262144,100,56.86,4610.1,60.14,4538.02
524288,100,112.22,4672.13,118.67,4553.28
1048576,98,228.23,4594.32,235.75,4602.58
2097152,98,455.45,4604.55,469.9,4643.39
4194304,96,908.49,4616.78,938.2,4629.25
8388608,94,1820.47,4607.94,1874.79,4591.46
16777216,88,3675.03,4565.19,3747.99,4544.35
33554432,80,7490.68,4479.49,7494.38,4510.28
67108864,66,14977.46,4480.66,14987.16,4474.27
134217728,50,30168.99,4448.86,29972.72,4444.8
268435456,32,59855.47,4484.73,59943.84,4485.99
