mpirun -np 2  -env I_MPI_DEBUG 5 -env I_MPI_FABRICS ofi -env I_MPI_OFI_PROVIDER sockets  -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB_intel-gcc -msglog 28 -iter 100 -iter_policy multiple_np -off_cache -1 
ct1pt-tnode007.hpc,ct1pt-tnode008.hpc
latency:9.96,bandwith:3215.85
"bytes","repetitions","t[usec]","Mbytes/sec","t[usec],(estimated)","Mbytes/sec,(estimated)"
0,100,9.96,0,9.96,-3.88
1,100,9.31,0.11,9.96,-3.82
2,100,9.39,0.21,9.96,-3.77
4,100,9.31,0.43,9.96,-3.65
8,100,9.26,0.86,9.96,-3.43
16,100,9.3,1.72,9.96,-2.98
32,100,9.34,3.43,9.97,-2.08
64,100,9.35,6.85,9.98,-0.29
128,100,9.57,13.38,10,3.3
256,100,15.43,16.59,10.04,10.47
512,100,18.02,28.41,10.12,24.88
1024,100,24.22,42.27,10.28,54.06
2048,100,20.72,98.82,10.6,113.33
4096,100,21.03,194.81,11.23,230.1
8192,100,21.18,386.75,12.51,433.94
16384,100,22.39,731.69,15.05,729.95
32768,100,29.64,1105.49,20.15,1029.49
65536,100,47.65,1375.37,30.34,1362.83
131072,100,73.98,1771.7,50.72,1839.47
262144,100,122.7,2136.48,91.48,2248.15
524288,100,209.01,2508.48,172.99,2381
1048576,98,394.44,2658.41,336.03,2550.18
2097152,98,757.85,2767.23,662.09,2737.2
4194304,96,1508.1,2781.18,1314.22,2850.95
8388608,94,2996.95,2799.05,2618.49,2993.26
16777216,88,5100.97,3289.02,5227.02,3153.58
33554432,80,10339.44,3245.29,10444.07,3217.32
67108864,66,20816.6,3223.81,20878.19,3246.12
134217728,50,41185.97,3258.82,41746.42,3263.15
268435456,32,83783.5,3203.92,83482.87,3201.75
