mpirun -np 2  -env I_MPI_DEBUG 5 -env I_MPI_FABRICS ofi -env I_MPI_OFI_PROVIDER tcp  -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB_intel-gcc -msglog 28 -iter 100 -iter_policy multiple_np -off_cache -1 
ct1pt-tnode007.hpc,ct1pt-tnode008.hpc
latency:9.20,bandwith:3256.95
"bytes","repetitions","t[usec]","Mbytes/sec","t[usec],(estimated)","Mbytes/sec,(estimated)"
0,100,9.2,0,9.2,6.75
1,100,7.78,0.13,9.2,6.88
2,100,7.69,0.26,9.2,7
4,100,7.76,0.52,9.2,7.26
8,100,7.75,1.03,9.2,7.76
16,100,7.82,2.04,9.2,8.77
32,100,7.73,4.14,9.21,10.79
64,100,8.01,7.99,9.22,14.83
128,100,7.83,16.35,9.24,22.97
256,100,7.97,32.1,9.28,39.25
512,100,10.62,48.2,9.36,70.6
1024,100,10.88,94.09,9.51,124.81
2048,100,10.51,194.84,9.83,204.24
4096,100,11.8,347.21,10.46,296.52
8192,100,13.48,607.58,11.72,434.3
16384,100,24.04,681.45,14.23,640.24
32768,100,36.33,901.84,19.26,869.22
65536,100,60.18,1089.03,29.32,1156.23
131072,100,113.08,1159.14,49.44,1590.21
262144,100,125.13,2094.9,89.69,2053.44
524288,100,191.25,2741.42,170.17,2441.94
1048576,98,323.54,3240.97,331.15,2992.83
2097152,98,625.74,3351.45,653.1,3504.72
4194304,96,1242.89,3374.65,1297,3541.02
8388608,94,2437.8,3441.05,2584.79,3451.74
16777216,88,4829.7,3473.76,5160.38,3349.24
33554432,80,10317.85,3252.08,10311.57,3301.78
67108864,66,20643.17,3250.9,20613.93,3269.82
134217728,50,41171.2,3259.99,41218.67,3239.73
268435456,32,82470.01,3254.95,82428.14,3259.17
