mpirun -np 2  -env I_MPI_DEBUG 5 -env I_MPI_FABRICS shm  -genv I_MPI_PIN_PROCESSOR_LIST 0,i  ./IMB_intel-gcc PingPong -msglog 28 -iter 100 -iter_policy multiple_np -off_cache -1 
ct1pt-tnode007.hpc,ct1pt-tnode008.hpc
latency:1.10,bandwith:4236.93
"bytes","repetitions","t[usec]","Mbytes/sec","t[usec],(estimated)","Mbytes/sec,(estimated)"
0,100,1.1,0,1.1,19.45
1,100,1.29,0.77,1.1,20.71
2,100,0.42,4.8,1.1,21.96
4,100,0.41,9.67,1.1,24.47
8,100,0.42,18.83,1.1,29.48
16,100,0.43,37.46,1.1,39.51
32,100,0.47,67.62,1.11,59.56
64,100,0.47,136.62,1.12,99.74
128,100,0.63,203.89,1.13,180.44
256,100,0.66,385.07,1.16,341.59
512,100,0.86,594.9,1.22,649.83
1024,100,0.9,1140.1,1.34,1171.92
2048,100,1.08,1892.77,1.58,1894.6
4096,100,1.6,2565.95,2.07,2605.77
8192,100,2.14,3834.99,3.03,3537.91
16384,100,3.71,4411.72,4.97,4737.41
32768,100,6.1,5371.53,8.83,5422.61
65536,100,11.44,5730.09,16.57,5477.99
131072,100,23.52,5572.16,32.04,5539.4
262144,100,47.91,5471.7,62.97,5544.01
524288,100,97,5404.91,124.84,5417.56
1048576,98,204.84,5119.01,248.58,5212.01
2097152,98,416.55,5034.52,496.07,4980.5
4194304,96,861.15,4870.56,991.04,4827.36
8388608,94,1828.69,4587.23,1980.97,4628.84
16777216,88,3735.44,4491.37,3960.84,4401.26
33554432,80,7959.98,4215.39,7920.59,4297.31
67108864,66,15934.12,4211.65,15840.08,4230.65
134217728,50,31856.84,4213.15,31679.06,4176.01
268435456,32,63261.43,4243.27,63357.01,4251.88
