mpirun -np 2  -env I_MPI_DEBUG 5 -env I_MPI_FABRICS shm  -genv I_MPI_PIN_PROCESSOR_LIST 0,i  ./IMB_intel-gcc PingPong -msglog 28 -iter 100 -iter_policy multiple_np -off_cache -1 
ct1pt-tnode007.hpc,ct1pt-tnode008.hpc
latency:0.83,bandwith:5488.63
"bytes","repetitions","t[usec]","Mbytes/sec","t[usec],(estimated)","Mbytes/sec,(estimated)"
0,100,0.83,0,0.83,63.28
1,100,0.87,1.15,0.83,65.86
2,100,0.22,9.02,0.83,68.44
4,100,0.22,17.83,0.83,73.6
8,100,0.22,35.58,0.83,83.93
16,100,0.23,70.98,0.83,104.59
32,100,0.24,136.02,0.84,145.88
64,100,0.24,271.02,0.84,228.07
128,100,0.24,525.22,0.85,390.08
256,100,0.28,929.52,0.88,703.67
512,100,0.42,1229.55,0.92,1282.07
1024,100,0.45,2258.65,1.02,2231.41
2048,100,0.62,3279.58,1.2,3442.41
4096,100,0.89,4611.66,1.58,4319.29
8192,100,1.61,5088.68,2.32,5230.23
16384,100,2.67,6138.84,3.82,6378.92
32768,100,4.43,7403.25,6.8,6944.93
65536,100,9.98,6567.58,12.77,6784.28
131072,100,20.61,6361.07,24.71,6570.45
262144,100,40.22,6518.11,48.59,6473.27
524288,100,76.49,6854.76,96.35,6667.1
1048576,98,149.74,7002.45,191.88,6969.65
2097152,98,296.73,7067.46,382.92,7222.04
4194304,96,592.37,7080.51,765.01,7140.92
8388608,94,1192.54,7034.22,1529.19,6911.12
16777216,88,2376.73,7058.95,3057.55,6594.58
33554432,80,5842.11,5743.54,6114.27,6271.19
67108864,66,11726.17,5723,12227.71,5842.94
134217728,50,23789.83,5641.81,24454.59,5399.42
268435456,32,49456.8,5427.67,48908.36,5484.07
