mpirun -np 2 --mca pml ob1 --report-bindings -map-by core  --mca btl tcp,self --mca btl_ br0 ./IMB_gnu-gcc PingPong -msglog 28 -iter 100 -iter_policy multiple_np -off_cache -1  
ct1pt-tnode007.hpc,ct1pt-tnode008.hpc
latency:5.96,bandwith:5352.75
"bytes","repetitions","t[usec]","Mbytes/sec","t[usec],(estimated)","Mbytes/sec,(estimated)"
0,100,5.96,0,5.96,5.97
1,100,5.66,0.18,5.96,6.17
2,100,4.97,0.4,5.96,6.37
4,100,4.98,0.8,5.96,6.77
8,100,4.94,1.62,5.96,7.56
16,100,4.99,3.21,5.96,9.16
32,100,4.99,6.42,5.97,12.34
64,100,5,12.8,5.97,18.72
128,100,5.48,23.36,5.98,31.52
256,100,5.56,46.03,6.01,57.13
512,100,5.54,92.47,6.06,107.18
1024,100,6.06,169,6.15,199
2048,100,5.83,351.38,6.34,353.77
4096,100,6.72,609.18,6.73,590.99
8192,100,7.37,1112.03,7.49,969.62
16384,100,9.93,1649.79,9.02,1478.64
32768,100,17.38,1885.4,12.08,1854.67
65536,100,36.52,1794.5,18.2,2095.85
131072,100,57.12,2294.82,30.45,2479.08
262144,100,90.63,2892.39,54.93,2963.07
524288,100,134.42,3900.31,103.91,3528.35
1048576,98,232.76,4504.91,201.86,4356.88
2097152,98,422.32,4965.84,397.75,5155.28
4194304,96,802.27,5228.08,789.54,5307.89
8388608,94,1561.48,5372.21,1573.13,5334.87
16777216,88,3093.22,5423.86,3140.3,5359.33
33554432,80,6329.84,5301,6274.63,5349.23
67108864,66,12642.61,5308.15,12543.31,5320.2
134217728,50,25213.05,5323.34,25080.66,5303.38
268435456,32,50060.11,5362.26,50155.35,5366.76
