mpirun -np 2 --mca pml ucx --report-bindings -map-by core  --mca btl tcp,self --mca btl_ br0 ./IMB_gnu-gcc PingPong -msglog 28 -iter 100 -iter_policy multiple_np -off_cache -1  
ct1pt-tnode007.hpc,ct1pt-tnode008.hpc
latency:0.24,bandwith:6453.57
"bytes","repetitions","t[usec]","Mbytes/sec","t[usec],(estimated)","Mbytes/sec,(estimated)"
0,100,0.24,0,0.24,20.47
1,100,0.18,5.42,0.24,24.19
2,100,0.19,10.8,0.24,27.92
4,100,0.18,21.67,0.24,35.37
8,100,0.18,43.27,0.24,50.32
16,100,0.19,86.14,0.24,80.3
32,100,0.23,141.14,0.24,140.09
64,100,0.27,240.58,0.25,254.88
128,100,0.29,443.8,0.26,457.95
256,100,0.3,846.24,0.28,777.34
512,100,0.41,1248.96,0.32,1231.27
1024,100,0.5,2032.69,0.4,1944.18
2048,100,0.74,2769.49,0.56,2851.03
4096,100,1.14,3584.23,0.87,3500.03
8192,100,2.02,4061.61,1.51,4172.45
16384,100,3.27,5010.36,2.78,5046.96
32768,100,5.74,5713.23,5.32,5583.09
65536,100,11.25,5823.14,10.39,5720.44
131072,100,23.58,5558.65,20.55,5941.27
262144,100,42.1,6226.89,40.86,6240.01
524288,100,75.59,6936.2,81.48,6622.55
1048576,98,145.05,7229.18,162.72,7175.7
2097152,98,281.03,7462.44,325.2,7665.35
4194304,96,555.9,7545.12,650.16,7616.63
8388608,94,1110.47,7554.09,1300.07,7377.47
16777216,88,2279.44,7360.24,2599.91,7070.17
33554432,80,5211.98,6437.95,5199.57,6819.13
67108864,66,10405.24,6449.52,10398.91,6528.37
134217728,50,20845.96,6438.55,20797.57,6266.31
268435456,32,41595.42,6453.49,41594.9,6493.86
