mpirun -np 2 --mca pml ucx --report-bindings -map-by core  --mca btl tcp,self --mca btl_ ib0 ./IMB_gnu-gcc PingPong -msglog 28 -iter 100 -iter_policy multiple_np -off_cache -1  
ct1pt-tnode007.hpc,ct1pt-tnode008.hpc
latency:0.18,bandwith:6457.54
"bytes","repetitions","t[usec]","Mbytes/sec","t[usec],(estimated)","Mbytes/sec,(estimated)"
0,100,0.18,0,0.18,21.15
1,100,0.19,5.29,0.18,25.18
2,100,0.18,11.08,0.18,29.21
4,100,0.19,21.25,0.18,37.28
8,100,0.18,44.06,0.18,53.46
16,100,0.19,85.23,0.18,85.94
32,100,0.22,142.54,0.18,150.7
64,100,0.22,284.84,0.19,274.48
128,100,0.28,450.33,0.2,490.22
256,100,0.29,871.92,0.22,818.08
512,100,0.41,1251.94,0.26,1258.1
1024,100,0.48,2147.07,0.34,1940.32
2048,100,0.74,2754,0.5,2804.03
4096,100,1.21,3375.58,0.81,3408.63
8192,100,2.09,3915.77,1.45,4022.31
16384,100,3.39,4827.2,2.72,4825.19
32768,100,5.75,5700.39,5.25,5335.68
65536,100,12.53,5228.82,10.33,5506.79
131072,100,23.93,5476.87,20.48,5775.66
262144,100,43.09,6084.15,40.77,6112.78
524288,100,76.02,6897.02,81.37,6500.62
1048576,98,146.76,7145.03,162.56,7059.9
2097152,98,286.74,7313.72,324.94,7563.38
4194304,96,559.23,7500.13,649.7,7542.98
8388608,94,1126.57,7446.14,1299.21,7348
16777216,88,2251.7,7450.92,2598.24,7086.55
33554432,80,5215.91,6433.09,5196.3,6840.49
67108864,66,10407.18,6448.32,10392.42,6534.74
134217728,50,20837.98,6441.01,20784.67,6259.55
268435456,32,41565.19,6458.18,41569.15,6500.51
