mpirun -np 2 --mca pml ucx --report-bindings -map-by core  --mca btl vader,self --mca btl_ ib0 ./IMB_gnu-gcc PingPong -msglog 28 -iter 100 -iter_policy multiple_np -off_cache -1  
ct1pt-tnode007.hpc,ct1pt-tnode008.hpc
latency:0.2,bandwith:6449.8
"bytes","repetitions","t[usec]","Mbytes/sec","t[usec],(estimated)","Mbytes/sec,(estimated)"
0,100,0.2,0,0.2,27.37
1,100,0.2,5.05,0.2,30.82
2,100,0.19,10.44,0.2,34.27
4,100,0.2,20.09,0.2,41.17
8,100,0.19,41.7,0.2,54.99
16,100,0.2,80.05,0.2,82.72
32,100,0.23,138.09,0.2,138
64,100,0.23,277.66,0.21,244.19
128,100,0.31,407.29,0.22,432.62
256,100,0.31,833.24,0.24,731.05
512,100,0.41,1242.6,0.28,1159.98
1024,100,0.58,1762.46,0.36,1836.02
2048,100,0.77,2643.42,0.52,2699.95
4096,100,1.2,3415.47,0.84,3331.44
8192,100,2.07,3959.35,1.47,3999.69
16384,100,3.36,4879.74,2.74,4870.9
32768,100,6.07,5398.96,5.28,5413.16
65536,100,11.4,5750.16,10.36,5570.05
131072,100,23.96,5469.32,20.52,5819.43
262144,100,43.47,6031.07,40.84,6144.61
524288,100,75.28,6964.19,81.49,6541
1048576,98,147.46,7111.11,162.77,7113.74
2097152,98,282.02,7436.26,325.35,7625.72
4194304,96,555.75,7547.13,650.5,7592.38
8388608,94,1120.04,7489.59,1300.8,7372.66
16777216,88,2259.76,7424.34,2601.4,7084.44
33554432,80,5216.96,6431.8,5202.59,6831.48
67108864,66,10414.98,6443.49,10404.99,6527.28
134217728,50,20866.79,6432.12,20809.78,6253.29
268435456,32,41615.44,6450.38,41619.35,6492.17
