mpirun -np 2 --mca pml ucx --report-bindings -map-by node  --mca btl tcp,self --mca btl_ br0 ./IMB_gnu-gcc PingPong -msglog 28 -iter 100 -iter_policy multiple_np -off_cache -1  
ct1pt-tnode007.hpc,ct1pt-tnode008.hpc
latency:0.99,bandwith:12187.1
"bytes","repetitions","t[usec]","Mbytes/sec","t[usec],(estimated)","Mbytes/sec,(estimated)"
0,100,0.99,0,0.99,28.31
1,100,0.99,1.01,0.99,28.85
2,100,0.98,2.04,0.99,29.39
4,100,0.99,4.06,0.99,30.47
8,100,1,8.01,0.99,32.62
16,100,1.01,15.81,0.99,36.94
32,100,1,31.86,0.99,45.58
64,100,1.17,54.63,1,62.87
128,100,1.2,106.5,1,97.58
256,100,1.43,179.25,1.01,166.82
512,100,1.49,344.4,1.03,299.3
1024,100,1.73,590.57,1.07,525.01
2048,100,2.36,868.32,1.16,843.14
4096,100,3.36,1220.45,1.33,1176.94
8192,100,4.91,1667.53,1.66,1657.32
16384,100,6.93,2365.87,2.33,2399.13
32768,100,9.23,3551.8,3.68,3302.2
65536,100,14.31,4578.58,6.37,4519.43
131072,100,24.26,5403.73,11.75,6305.69
262144,100,32.31,8112.71,22.5,8009.53
524288,100,54.46,9627.42,44.01,9012.76
1048576,98,98.84,10609.18,87.03,10394.09
2097152,98,182.66,11481.05,173.07,11728.62
4194304,96,354.63,11827.25,345.15,11995.26
8388608,94,694.31,12081.95,689.31,12063.06
16777216,88,1375.75,12194.92,1377.64,12140.35
33554432,80,2754.31,12182.54,2754.29,12174.18
67108864,66,5502.08,12197,5507.59,12193.94
134217728,50,11004.56,12196.55,11014.18,12208.72
268435456,32,22033.22,12183.22,22027.38,12180.13
