mpirun -np 2 --mca pml ob1 --report-bindings -map-by node  --mca btl tcp,self --mca btl_ ib0 ./IMB_gnu-gcc PingPong -msglog 28 -iter 100 -iter_policy multiple_np -off_cache -1  
ct1pt-tnode007.hpc,ct1pt-tnode008.hpc
latency:16.19,bandwith:2371.46
"bytes","repetitions","t[usec]","Mbytes/sec","t[usec],(estimated)","Mbytes/sec,(estimated)"
0,100,16.19,0,16.19,1.93
1,100,16.26,0.06,16.19,1.96
2,100,16.1,0.12,16.19,1.99
4,100,16.09,0.25,16.19,2.05
8,100,15.96,0.5,16.19,2.18
16,100,16,1,16.2,2.43
32,100,16.16,1.98,16.2,2.93
64,100,16.12,3.97,16.22,3.93
128,100,17.06,7.5,16.24,5.93
256,100,17.07,14.99,16.3,9.93
512,100,17.37,29.48,16.41,17.94
1024,100,17.99,56.93,16.62,34.1
2048,100,37.07,55.24,17.05,66.6
4096,100,39.85,102.79,17.92,130.09
8192,100,37.71,217.25,19.64,241.28
16384,100,42.73,383.46,23.1,405.21
32768,100,60.58,540.87,30.01,579.83
65536,100,68.17,961.42,43.83,788.34
131072,100,125.03,1048.34,71.46,1098.91
262144,100,207.24,1264.91,126.73,1413.35
524288,100,302.64,1732.39,237.27,1641.12
1048576,98,505.5,2074.34,458.35,1960.01
2097152,98,930.69,2253.32,900.51,2258.23
4194304,96,1906.73,2199.74,1784.84,2286.18
8388608,94,3801.14,2206.87,3553.49,2248.82
16777216,88,7509.93,2234,7090.78,2217.3
33554432,80,14691.15,2283.99,14165.37,2240.94
67108864,66,29117.29,2304.78,28314.56,2302.67
134217728,50,57070.64,2351.78,56612.92,2370.92
268435456,32,112677.88,2382.33,113209.65,2377.5
