mpirun -np 2 --mca pml ucx --report-bindings -map-by socket  --mca btl tcp,self --mca btl_ br0 ./IMB_gnu-gcc PingPong -msglog 28 -iter 100 -iter_policy multiple_np -off_cache -1  
ct1pt-tnode007.hpc,ct1pt-tnode008.hpc
latency:0.46,bandwith:5676.11
"bytes","repetitions","t[usec]","Mbytes/sec","t[usec],(estimated)","Mbytes/sec,(estimated)"
0,100,0.46,0,0.46,70.88
1,100,0.41,2.44,0.46,71.51
2,100,0.39,5.1,0.46,72.15
4,100,0.4,9.92,0.46,73.41
8,100,0.39,20.41,0.46,75.95
16,100,0.45,35.82,0.46,81.03
32,100,0.56,56.94,0.47,91.17
64,100,0.56,114.59,0.47,111.52
128,100,0.88,145,0.48,152.4
256,100,0.93,276.02,0.51,234.05
512,100,1.24,414.12,0.55,389.34
1024,100,1.36,755.69,0.64,646.02
2048,100,2.13,963.42,0.82,976.68
4096,100,3.02,1356.5,1.18,1229.47
8192,100,4.66,1758.29,1.9,1527.03
16384,100,7.07,2315.83,3.35,1999.85
32768,100,11.42,2870.45,6.23,2618.89
65536,100,20.08,3263.02,12.01,3505.3
131072,100,42.95,3051.88,23.55,4823.56
262144,100,38.22,6859,46.64,6145.91
524288,100,66.19,7920.56,92.83,7073.82
1048576,98,120.97,8667.9,185.19,8353.47
2097152,98,233.77,8970.97,369.93,9487.42
4194304,96,463.81,9043.22,739.4,9376.48
8388608,94,931.34,9007.03,1478.33,8810.58
16777216,88,1855.72,9040.82,2956.2,8021.57
33554432,80,5356.34,6264.43,5911.94,7192.06
67108864,66,11803.99,5685.27,11823.42,6105.21
134217728,50,23716.35,5659.29,23646.39,5090.34
268435456,32,47423.19,5660.43,47292.32,5787.28
