mpirun -np 2 --mca pml ob1 --report-bindings -map-by socket  --mca btl tcp,self --mca btl_ ib0 ./IMB_gnu-gcc PingPong -msglog 28 -iter 100 -iter_policy multiple_np -off_cache -1  
ct1pt-tnode007.hpc,ct1pt-tnode008.hpc
latency:9.28,bandwith:3295.75
"bytes","repetitions","t[usec]","Mbytes/sec","t[usec],(estimated)","Mbytes/sec,(estimated)"
0,100,9.28,0,9.28,3.75
1,100,7.86,0.13,9.28,3.88
2,100,7.83,0.26,9.28,4
4,100,7.92,0.51,9.28,4.26
8,100,7.86,1.02,9.28,4.78
16,100,7.9,2.02,9.28,5.8
32,100,7.88,4.06,9.29,7.86
64,100,7.74,8.27,9.3,11.98
128,100,9.16,13.97,9.32,20.26
256,100,9.26,27.65,9.36,36.81
512,100,9.33,54.9,9.44,69.1
1024,100,9.61,106.56,9.59,127.9
2048,100,8.89,230.41,9.9,225.36
4096,100,10.78,380.1,10.52,370.77
8192,100,11.61,705.51,11.77,602.01
16384,100,16,1023.88,14.25,917.63
32768,100,27.01,1213.07,19.22,1168.27
65536,100,58.38,1122.51,29.17,1360.29
131072,100,84.77,1546.15,49.05,1657.18
262144,100,132.32,1981.14,88.82,2001.68
524288,100,207.81,2522.92,168.36,2349.38
1048576,98,345.58,3034.29,327.44,2852.66
2097152,98,653.63,3208.48,645.61,3332.1
4194304,96,1266.93,3310.61,1281.93,3405.68
8388608,94,2469.51,3396.87,2554.59,3390.17
16777216,88,4847.43,3461.05,5099.9,3367.88
33554432,80,10225.86,3281.33,10190.52,3342.6
67108864,66,20339.17,3299.49,20371.76,3308.56
134217728,50,40711.1,3296.83,40734.23,3276.77
268435456,32,81492.88,3293.97,81459.19,3298.59
