mpirun -np 2 --mca pml ucx --report-bindings -map-by socket  --mca btl tcp,self --mca btl_ ib0 ./IMB_gnu-gcc PingPong -msglog 28 -iter 100 -iter_policy multiple_np -off_cache -1  
ct1pt-tnode007.hpc,ct1pt-tnode008.hpc
latency:0.42,bandwith:5663.85
"bytes","repetitions","t[usec]","Mbytes/sec","t[usec],(estimated)","Mbytes/sec,(estimated)"
0,100,0.42,0,0.42,74.75
1,100,0.39,2.56,0.42,75.39
2,100,0.39,5.15,0.42,76.04
4,100,0.39,10.3,0.42,77.34
8,100,0.39,20.58,0.42,79.93
16,100,0.4,40.1,0.42,85.1
32,100,0.56,56.81,0.43,95.46
64,100,0.56,115.31,0.43,116.21
128,100,0.88,146,0.44,157.93
256,100,0.9,283.93,0.47,241.24
512,100,1.18,435.17,0.51,399.5
1024,100,1.31,781.19,0.6,659.84
2048,100,2.12,967.32,0.78,990.13
4096,100,3.04,1345.9,1.14,1226.2
8192,100,4.59,1786.11,1.87,1491.37
16384,100,7.44,2203.12,3.31,1929.87
32768,100,11.51,2847.71,6.21,2557.61
65536,100,20.18,3247.89,11.99,3510.52
131072,100,42.52,3082.6,23.56,4918.97
262144,100,37.14,7058.95,46.7,6297.85
524288,100,65.03,8062.58,92.99,7189.57
1048576,98,120.54,8699.14,185.55,8409.12
2097152,98,234.8,8931.68,370.69,9494.22
4194304,96,464.92,9021.65,740.96,9402.95
8388608,94,905.72,9261.79,1481.49,8882.49
16777216,88,1833.75,9149.11,2962.56,8131.16
33554432,80,5379.94,6236.95,5924.7,7270.83
67108864,66,11840.48,5667.75,11848.98,6108.97
134217728,50,23753.51,5650.44,23697.54,5027.47
268435456,32,47531.12,5647.57,47394.66,5787.32
