mpirun -np 2 --mca pml ucx --report-bindings -map-by socket  --mca btl vader,self --mca btl_ ib0 ./IMB_gnu-gcc PingPong -msglog 28 -iter 100 -iter_policy multiple_np -off_cache -1  
ct1pt-tnode007.hpc,ct1pt-tnode008.hpc
latency:0.41,bandwith:5671.5
"bytes","repetitions","t[usec]","Mbytes/sec","t[usec],(estimated)","Mbytes/sec,(estimated)"
0,100,0.41,0,0.41,72.05
1,100,0.4,2.51,0.41,72.68
2,100,0.39,5.18,0.41,73.31
4,100,0.39,10.16,0.41,74.57
8,100,0.38,20.91,0.41,77.09
16,100,0.4,39.98,0.41,82.13
32,100,0.56,56.8,0.42,92.22
64,100,0.57,111.33,0.42,112.43
128,100,0.9,142.28,0.43,153.06
256,100,0.91,281.18,0.46,234.2
512,100,1.22,420.37,0.5,388.48
1024,100,1.4,733.37,0.59,643.21
2048,100,2.13,960.81,0.77,970.17
4096,100,3.07,1334.4,1.13,1216.33
8192,100,4.66,1758.38,1.85,1503.72
16384,100,7.02,2334.95,3.3,1966.7
32768,100,11.61,2823.53,6.19,2592.62
65536,100,20.35,3219.91,11.97,3508.42
131072,100,42.69,3070.1,23.52,4865.37
262144,100,37.35,7018.05,46.63,6207.28
524288,100,66.63,7868.71,92.85,7106.1
1048576,98,120.72,8685.72,185.29,8341.09
2097152,98,236.68,8860.78,370.18,9443.01
4194304,96,464.95,9021,739.95,9361.3
8388608,94,911.12,9206.96,1479.49,8853.04
16777216,88,1851.6,9060.92,2958.56,8117.76
33554432,80,5299.67,6331.42,5916.71,7271.59
67108864,66,11813.33,5680.77,11833.02,6126.09
134217728,50,23733.88,5655.11,23665.62,5055.95
268435456,32,47471.34,5654.68,47330.83,5788.29
