mpi implementation,library-compiler,map,network,pml(opempi)/fabric(intel),btl(openmpi)/ofi(intel),bandwidth,latency
openmpi,gnu-gcc,node,br0,ob1,tcp,2118.96,16.6
openmpi,gnu-gcc,node,br0,ucx,tcp,12187.1,0.99
openmpi,gnu-gcc,node,ib0,ob1,tcp,2371.46,16.19
openmpi,gnu-gcc,node,ib0,ucx,tcp,12187.1,1
openmpi,gnu-gcc,core,br0,ob1,tcp,5352.75,5.96
openmpi,gnu-gcc,core,br0,ucx,tcp,6453.57,0.24
openmpi,gnu-gcc,core,br0,ucx,vader,6447.62,0.25
openmpi,gnu-gcc,core,ib0,ob1,tcp,5343.47,6.72
openmpi,gnu-gcc,core,ib0,ob1,vader,4503.32,0.24
openmpi,gnu-gcc,core,ib0,ucx,tcp,6457.54,0.18
openmpi,gnu-gcc,core,ib0,ucx,vader,6449.8,0.2
openmpi,gnu-gcc,socket,br0,ob1,tcp,3291.66,9.68
openmpi,gnu-gcc,socket,br0,ucx,tcp,5676.11,0.46
openmpi,gnu-gcc,socket,br0,ucx,vader,5673.65,0.42
openmpi,gnu-gcc,socket,ib0,ob1,tcp,3295.75,9.28
openmpi,gnu-gcc,socket,ib0,ob1,vader,3948.92,0.59
openmpi,gnu-gcc,socket,ib0,ucx,tcp,5663.85,0.42
openmpi,gnu-gcc,socket,ib0,ucx,vader,5671.5,0.41
intelmpi,intel,contiguos,none,shm,none,4236.93,1.10
intelmpi,intel,contiguos,none,ofi,shm,3922.84,1.62
intelmpi,intel,contiguos,br0,ofi,sockets,3215.85,9.96
intelmpi,intel,contiguos,br0,ofi,tcp,3256.95,9.20
intelmpi,intel,contiguos,ib0,ofi,mlx,5623.75,0.48
intelmpi,intel,socket,none,shm,none,5488.63,0.83
intelmpi,intel,socket,none,ofi,shm,4478.22,1.60
intelmpi,intel,socket,br0,ofi,sockets,5353.56,7.21
intelmpi,intel,socket,br0,ofi,tcp,5367.95,4.72
intelmpi,intel,socket,ib0,ofi,mlx,6422.54,0.24
